feature,mean_abs_shap
word_svd_57,0.009352004246097603
char_svd_141,0.009319680793058692
char_svd_61,0.009319417576760847
word_svd_77,0.009177179356620952
char_svd_58,0.009148165228727972
questions_per_word,0.00913058752406809
num_quality_words,0.009035467771226345
word_svd_13,0.008888276051356352
char_svd_17,0.008822456554154293
char_svd_127,0.008778845791796356
word_svd_156,0.00874152542875885
word_svd_75,0.008705090797482265
word_svd_4,0.008677962784527019
word_svd_124,0.008638848431396461
char_svd_80,0.008610994849810153
word_svd_167,0.008582849795623702
word_svd_152,0.008529238812997447
char_svd_59,0.008463777741855144
word_svd_162,0.008176663900268891
word_svd_129,0.008069025443733838
word_svd_10,0.008064069914980583
word_svd_16,0.007983844433394458
word_svd_59,0.007934372354488092
avg_exclaims_per_sentence,0.007888165467703951
char_svd_10,0.007797467183041032
word_svd_192,0.007727404483886876
num_short_words,0.007725237281784653
char_svd_26,0.007625880385661472
word_svd_173,0.00752210610928387
char_svd_47,0.007516184688409763
word_svd_163,0.007464392843919119
word_svd_20,0.007417556011039373
word_svd_148,0.007412407094197643
char_svd_77,0.00739414271632463
char_svd_114,0.007318865255336442
char_svd_50,0.007287531495941866
char_svd_126,0.0072637806933121335
word_svd_102,0.007251609814184845
char_svd_27,0.0070662506323720085
word_svd_52,0.0069065263279291965
word_svd_40,0.006883809213693666
word_svd_11,0.00686783396074055
word_svd_44,0.006860703342023462
word_svd_109,0.006810180144047447
word_svd_46,0.006804686854963668
char_svd_37,0.006755267012307535
char_svd_98,0.006750276234337865
word_svd_157,0.00665969724966412
char_svd_78,0.006629007367042194
char_svd_125,0.00662150334801824
word_svd_116,0.006613395887512386
char_svd_105,0.006590956779679786
word_svd_80,0.006522361315186139
char_svd_137,0.006496398724399466
max_char_repeat,0.006433018229744879
has_not_arrived,0.006423725091937307
char_svd_79,0.006406446343638184
char_svd_103,0.006293912885141821
word_svd_144,0.006251819218169228
char_svd_122,0.006217907083543318
char_svd_116,0.006196241347244999
word_svd_193,0.006141401367023791
word_svd_183,0.006085213300662926
char_svd_91,0.006000702947120154
char_svd_110,0.005930966860722708
avg_word_len,0.005861692304385607
word_svd_137,0.0058570728319212485
word_svd_199,0.005793824775514485
char_svd_75,0.0057814268940320915
char_svd_65,0.005773717231922875
word_svd_160,0.0057446278171901614
word_svd_117,0.005738875534202844
word_svd_90,0.0057156599879335445
char_svd_85,0.005656708447672239
word_svd_71,0.005578961585632878
char_svd_45,0.005412552353325345
word_svd_185,0.00536276894003895
char_svd_86,0.005337163001016375
word_svd_191,0.005315015561637855
char_svd_133,0.005307009572955245
word_svd_149,0.005293323646009516
char_svd_83,0.005278710727409288
char_svd_129,0.005257784941829533
word_svd_138,0.00525675950554048
word_svd_113,0.005188346564315107
word_svd_63,0.004968810960750349
